SPY (SPDR S&P 500 ETF Trust),323.18,-0.93
Jul 28 2020 @ 08:59 ET,Bid,322.28,Ask,322.32,Size,5x47,Vol,48292970
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
07/27/2020,SPY200727C00250000,0,0,72.93,73.61,0,0.02,1,0.0016,0,250.000,SPY200727P00250000,0.01,0,0,0.01,0,9.0014,-0.0009,0.0001,1386
07/27/2020,SPY200727C00255000,66.98,1.56,67.93,68.61,2,0.02,1,0.0017,0,255.000,SPY200727P00255000,0.01,0,0,0.01,0,8.001,-0.0006,0.0001,783
07/27/2020,SPY200727C00260000,61.96,1.485,62.94,63.62,2,0.02,1,0.0019,0,260.000,SPY200727P00260000,0.01,0,0,0.01,0,7.4909,-0.0007,0.0001,1367
07/27/2020,SPY200727C00265000,55.82,0,57.94,58.61,0,0.02,1,0.002,0,265.000,SPY200727P00265000,0.01,0,0,0.01,0,6.777,-0.0007,0.0001,153
07/27/2020,SPY200727C00270000,46.34,0,52.93,53.61,0,0.02,1,0.0022,0,270.000,SPY200727P00270000,0.01,0,0,0.01,0,6.0951,-0.0006,0.0001,415
07/27/2020,SPY200727C00271000,0,0,51.93,52.61,0,0.02,1,0.0023,0,271.000,SPY200727P00271000,0.01,0,0,0.01,0,6.001,-0.0007,0.0001,530
07/27/2020,SPY200727C00272000,0,0,50.93,51.61,0,0.02,1,0.0005,0,272.000,SPY200727P00272000,0.01,0,0,0.01,0,6.001,-0.0009,0.0002,514
07/27/2020,SPY200727C00273000,0,0,49.92,50.61,0,0.02,1,0.0009,0,273.000,SPY200727P00273000,0.01,0,0,0.01,0,6.001,-0.0011,0.0002,557
07/27/2020,SPY200727C00274000,48.84,0,48.93,49.61,0,0.02,1,0.0009,0,274.000,SPY200727P00274000,0.01,0,0,0.01,0,6.001,-0.0013,0.0002,472
07/27/2020,SPY200727C00275000,47.88,0,47.93,48.61,0,0.02,1,0.0009,0,275.000,SPY200727P00275000,0.02,0,0,0.01,0,5.501,-0.0007,0.0001,269
07/27/2020,SPY200727C00276000,0,0,46.92,47.61,0,0.02,1,0.0025,0,276.000,SPY200727P00276000,0.01,0,0,0.01,0,5.4647,-0.0008,0.0002,1032
07/27/2020,SPY200727C00277000,0,0,45.93,46.61,0,0.02,1,0.0026,0,277.000,SPY200727P00277000,0.03,0,0,0.01,0,5.3719,-0.0009,0.0002,494
07/27/2020,SPY200727C00278000,27.97,0,44.93,45.61,0,0.02,1,0.0006,0,278.000,SPY200727P00278000,0.01,0,0,0.01,0,5.2986,-0.001,0.0002,513
07/27/2020,SPY200727C00279000,0,0,43.93,44.61,0,0.02,1,0.0027,0,279.000,SPY200727P00279000,0.01,0,0,0.01,0,5.2403,-0.0011,0.0002,241
07/27/2020,SPY200727C00280000,43.99,0,42.93,43.61,0,0.02,1,0.0006,0,280.000,SPY200727P00280000,0.01,0,0,0.01,0,5.1937,-0.0013,0.0003,1212
07/27/2020,SPY200727C00281000,0,0,41.93,42.61,0,0.02,1,0.0028,0,281.000,SPY200727P00281000,0.01,0,0,0.01,0,5.1562,-0.0015,0.0003,292
07/27/2020,SPY200727C00282000,41.04,2.545,40.92,41.61,1,0.02,1,0.0028,0,282.000,SPY200727P00282000,0.05,0,0,0.01,0,4.6879,-0.0008,0.0002,371
07/27/2020,SPY200727C00283000,39.99,0,39.92,40.61,0,0.02,1,0.0029,0,283.000,SPY200727P00283000,0.01,0,0,0.01,0,4.6502,-0.0009,0.0002,159
07/27/2020,SPY200727C00284000,0,0,38.93,39.61,0,0.02,1,0.0014,0,284.000,SPY200727P00284000,0.01,0.005,0,0.01,5,4.6188,-0.0011,0.0003,239
07/27/2020,SPY200727C00285000,35.57,0,37.93,38.61,0,0.02,1,0.0014,0,285.000,SPY200727P00285000,0.01,0,0,0.01,0,4.5348,-0.0012,0.0003,533
07/27/2020,SPY200727C00286000,36.26,0,36.92,37.61,0,0.02,1,0.0014,0,286.000,SPY200727P00286000,0.01,0.005,0,0.01,5,4.3747,-0.0012,0.0003,266
07/27/2020,SPY200727C00287000,33.56,0,35.93,36.61,0,0.02,1,0.0016,0,287.000,SPY200727P00287000,0.01,0,0,0.01,0,4.426,-0.0017,0.0004,310
07/27/2020,SPY200727C00288000,34.28,0,34.92,35.61,0,0.02,1,0.001,0,288.000,SPY200727P00288000,0.01,0,0,0.01,0,4.001,-0.0008,0.0002,335
07/27/2020,SPY200727C00289000,0,0,33.93,34.61,0,0.02,1,0.001,0,289.000,SPY200727P00289000,0.01,0,0,0.01,0,4.001,-0.0012,0.0003,2749
07/27/2020,SPY200727C00290000,32.24,0,32.93,33.61,0,0.02,1,0.001,0,290.000,SPY200727P00290000,0.01,0,0,0.01,0,4.001,-0.0016,0.0004,24862
07/27/2020,SPY200727C00291000,30.99,1.525,31.93,32.61,4,0.02,1,0.001,0,291.000,SPY200727P00291000,0.01,0.005,0,0.01,1,3.751,-0.0012,0.0003,285
07/27/2020,SPY200727C00292000,33.5,0,30.92,31.61,0,0.02,1,0.0019,0,292.000,SPY200727P00292000,0.01,0,0,0.01,0,3.7442,-0.0016,0.0005,214
07/27/2020,SPY200727C00293000,29.37,1.83,29.93,30.61,1,0.02,1,0.0021,0,293.000,SPY200727P00293000,0.01,0,0,0.01,0,3.6805,-0.0018,0.0005,4306
07/27/2020,SPY200727C00294000,28.33,1.825,28.93,29.61,5,0.02,1,0.0013,0,294.000,SPY200727P00294000,0.01,0,0,0.01,0,3.6345,-0.0023,0.0007,821
07/27/2020,SPY200727C00295000,28.06,2.57,27.93,28.61,7,0.02,1,0.0043,0,295.000,SPY200727P00295000,0.01,0,0,0.01,0,3.4013,-0.0017,0.0005,1206
07/27/2020,SPY200727C00296000,24.97,0.455,26.93,27.61,2,0.02,1,0.0045,0,296.000,SPY200727P00296000,0.01,-0.005,0,0.01,10,3.1525,-0.0012,0.0004,965
07/27/2020,SPY200727C00297000,26.2,2.71,25.93,26.61,25,0.02,1,0.0046,0,297.000,SPY200727P00297000,0.01,0,0,0.01,0,3.1165,-0.0016,0.0005,500
07/27/2020,SPY200727C00298000,22.86,0,24.92,25.61,0,0.02,1,0.0016,0,298.000,SPY200727P00298000,0.01,-0.005,0,0.01,20,3.0897,-0.0021,0.0007,1624
07/27/2020,SPY200727C00299000,23.79,2.365,23.92,24.61,1,0.02,1,0.0012,0,299.000,SPY200727P00299000,0.01,0,0,0.01,0,2.8367,-0.0014,0.0005,1412
07/27/2020,SPY200727C00300000,23.17,2.735,22.92,23.61,6,0.02,1,0.0031,0,300.000,SPY200727P00300000,0.01,-0.005,0,0.01,102,2.8176,-0.002,0.0008,7276
07/27/2020,SPY200727C00301000,22.19,2.745,21.92,22.61,3,0.02,1,0.0051,0,301.000,SPY200727P00301000,0.01,-0.005,0,0.01,2,2.5633,-0.0013,0.0005,1431
07/27/2020,SPY200727C00302000,20.82,2.31,20.93,21.61,31,0.02,1,0.0006,0,302.000,SPY200727P00302000,0.01,-0.005,0,0.01,30,2.5495,-0.0019,0.0008,1450
07/27/2020,SPY200727C00303000,18.96,1.505,19.92,20.61,21,0.02,1,0.0008,0,303.000,SPY200727P00303000,0.01,-0.005,0,0.01,117,2.5383,-0.0028,0.0011,2087
07/27/2020,SPY200727C00304000,17.26,0.71,18.93,19.61,1,0.02,1,0.0012,0,304.000,SPY200727P00304000,0.02,0,0,0.01,0,2.4297,-0.003,0.0013,1456
07/27/2020,SPY200727C00305000,18.26,2.705,17.93,18.61,19,0.02,1,0.0012,0,305.000,SPY200727P00305000,0.01,-0.015,0,0.01,37,2.2191,-0.0022,0.0011,3343
07/27/2020,SPY200727C00306000,16.88,2.395,16.93,17.61,6,0.02,1,0.0029,0,306.000,SPY200727P00306000,0.01,-0.015,0,0.01,7,2.126,-0.0025,0.0012,3383
07/27/2020,SPY200727C00307000,15.85,2.345,15.93,16.61,28,0.02,1,0.0054,0,307.000,SPY200727P00307000,0.01,-0.015,0,0.01,11,2.001,-0.0026,0.0013,2891
07/27/2020,SPY200727C00308000,15.14,2.595,14.93,15.61,75,0.02,1,0.0084,0,308.000,SPY200727P00308000,0.01,-0.025,0,0.01,8,1.876,-0.0026,0.0014,6233
07/27/2020,SPY200727C00309000,14.15,2.63,13.93,14.61,49,0.02,1,0.0092,0,309.000,SPY200727P00309000,0.02,-0.025,0,0.01,103,1.7922,-0.0031,0.0018,3148
07/27/2020,SPY200727C00310000,13.06,2.52,12.92,13.61,121,0.02,1,0.0049,0,310.000,SPY200727P00310000,0.01,-0.045,0,0.01,860,1.6891,-0.0036,0.0021,24432
07/27/2020,SPY200727C00311000,12.15,2.535,11.93,12.61,151,0.02,1,0.0109,0,311.000,SPY200727P00311000,0.01,-0.075,0,0.01,9577,1.5262,-0.003,0.002,10678
07/27/2020,SPY200727C00312000,11.32,2.76,10.93,11.61,445,0.02,1,0.0058,0,312.000,SPY200727P00312000,0.01,-0.115,0,0.01,3890,1.3669,-0.0025,0.0019,6276
07/27/2020,SPY200727C00313000,10.3,2.605,9.92,10.61,316,0.02,1,0.007,0,313.000,SPY200727P00313000,0.01,-0.165,0,0.01,4118,1.3267,-0.0042,0.0031,6407
07/27/2020,SPY200727C00314000,9.17,2.46,8.93,9.61,354,0.02,1,0.0038,0,314.000,SPY200727P00314000,0.01,-0.225,0,0.01,4872,1.1848,-0.0039,0.0033,7323
07/27/2020,SPY200727C00315000,8.2,2.4,7.95,8.61,284,0.02,1,0.0042,0,315.000,SPY200727P00315000,0.01,-0.325,0,0.01,14987,1.126,-0.0063,0.0053,18401
07/27/2020,SPY200727C00316000,7.2,2.265,6.93,7.62,344,0.02,1,0.0205,0,316.000,SPY200727P00316000,0.01,-0.455,0,0.01,12233,1.001,-0.0069,0.0064,13606
07/27/2020,SPY200727C00317000,6.32,2.215,5.94,6.62,579,0.02,1,0.0148,0,317.000,SPY200727P00317000,0.01,-0.615,0,0.01,20112,0.876,-0.0077,0.0081,13181
07/27/2020,SPY200727C00318000,5.39,2.065,5.01,5.62,1192,0.02,0.9759,0.0209,0,318.000,SPY200727P00318000,0.01,-0.835,0,0.01,21950,0.751,-0.0089,0.0107,10698
07/27/2020,SPY200727C00319000,4.24,1.635,3.94,4.62,3273,0.02,1,0.034,0,319.000,SPY200727P00319000,0.01,-1.115,0,0.01,34788,0.5853,-0.0069,0.011,16467
07/27/2020,SPY200727C00320000,3.18,1.225,3.25,3.31,8830,0.02,1,0.0174,0,320.000,SPY200727P00320000,0.01,-1.47,0,0.01,78416,0.5448,-0.0216,0.0317,22137
07/27/2020,SPY200727C00321000,2.16,0.76,2.25,2.31,36336,0.02,1,0.0572,0,321.000,SPY200727P00321000,0.01,-1.91,0,0.01,96501,0.412,-0.0318,0.058,14961
07/27/2020,SPY200727C00322000,1.27,0.325,1.25,1.31,123436,0.02,0.9823,0.0717,3,322.000,SPY200727P00322000,0.01,-2.455,0,0.01,187524,0.3325,-0.0975,0.1732,15198
07/27/2020,SPY200727C00323000,0.29,-0.305,0.29,0.33,168770,0.1919,0.6844,0.6193,43,323.000,SPY200727P00323000,0.01,-3.105,0.01,0.02,79793,0.2668,-0.3577,0.4676,5736
07/27/2020,SPY200727C00324000,0.01,-0.345,0,0.01,98773,0.1981,0.1159,0.3293,16830,324.000,SPY200727P00324000,0.8,-3.075,0.7,0.74,18920,0.3042,-0.7865,0.3198,0
07/27/2020,SPY200727C00325000,0.01,-0.195,0,0.01,37186,0.3303,0.041,0.0889,15687,325.000,SPY200727P00325000,1.67,-3.045,1.69,1.76,8925,0.4832,-0.8826,0.1363,0
07/27/2020,SPY200727C00326000,0.01,-0.105,0,0.01,23793,0.4028,0.0122,0.0263,17073,326.000,SPY200727P00326000,2.75,-2.895,2.69,2.76,1802,0.656,-0.9162,0.0785,0
07/27/2020,SPY200727C00327000,0.01,-0.045,0,0.01,9942,0.4969,0.0064,0.0121,11552,327.000,SPY200727P00327000,3.65,-2.925,3.39,4.07,812,0.8396,-0.9291,0.054,0
07/27/2020,SPY200727C00328000,0.01,-0.025,0,0.01,2315,0.6597,0.0088,0.0121,8576,328.000,SPY200727P00328000,4.38,-3.155,4.39,5.07,78,1.0099,-0.9386,0.0401,0
07/27/2020,SPY200727C00329000,0.01,-0.005,0,0.01,207,0.7816,0.0077,0.009,10213,329.000,SPY200727P00329000,6.11,-2.455,5.39,6.07,75,1.0532,-0.9637,0.0253,0
07/27/2020,SPY200727C00330000,0.01,-0.005,0,0.01,378,0.9036,0.007,0.0072,23657,330.000,SPY200727P00330000,6.87,-2.685,6.39,7.07,249,1.2878,-0.9573,0.0236,2
07/27/2020,SPY200727C00331000,0.01,0.005,0,0.01,41,1.0255,0.0065,0.0059,3422,331.000,SPY200727P00331000,7.75,-2.785,7.39,8.07,79,1.3907,-0.9662,0.0181,0
07/27/2020,SPY200727C00332000,0.01,-0.005,0,0.01,15,1.0727,0.0037,0.0034,3868,332.000,SPY200727P00332000,8.78,-2.735,8.39,9.07,15,1.5547,-0.9673,0.0157,0
07/27/2020,SPY200727C00333000,0.01,0.005,0,0.01,519,1.2069,0.004,0.0033,22880,333.000,SPY200727P00333000,10.22,-2.295,9.39,10.08,17,1.6767,-0.9714,0.013,0
07/27/2020,SPY200727C00334000,0.01,0.005,0,0.01,9,1.3441,0.0044,0.0032,2092,334.000,SPY200727P00334000,10.91,-2.585,10.39,11.06,23,1.8436,-0.9715,0.0118,0
07/27/2020,SPY200727C00335000,0.01,0.005,0,0.01,41,1.3805,0.0027,0.002,6256,335.000,SPY200727P00335000,11.88,-2.67,11.39,12.08,28,1.8398,-0.9814,0.0083,0
07/27/2020,SPY200727C00336000,0.01,0,0,0.01,0,1.5306,0.0033,0.0022,1674,336.000,SPY200727P00336000,12.87,-2.67,12.39,13.06,10,2.1139,-0.9752,0.0092,0
07/27/2020,SPY200727C00337000,0.01,0,0,0.01,0,1.6817,0.0039,0.0023,4041,337.000,SPY200727P00337000,16.21,0,13.39,14.06,0,2.1104,-0.9829,0.0067,0
07/27/2020,SPY200727C00338000,0.01,0.005,0,0.01,1,1.7658,0.0033,0.0019,496,338.000,SPY200727P00338000,18,0,14.39,15.08,0,2.1885,-0.9857,0.0056,0
07/27/2020,SPY200727C00339000,0.01,0,0,0.01,0,1.7564,0.0018,0.0011,2079,339.000,SPY200727P00339000,18.72,0,15.39,16.06,0,2.5544,-0.9771,0.0071,5
07/27/2020,SPY200727C00340000,0.01,0.005,0,0.01,10,2.001,0.0033,0.0017,5589,340.000,SPY200727P00340000,19.18,0,16.39,17.08,0,2.6469,-0.9797,0.0062,0
07/27/2020,SPY200727C00341000,0.01,0,0,0.01,0,2.001,0.002,0.0011,532,341.000,SPY200727P00341000,14.5,0,17.39,18.07,0,2.6196,-0.9857,0.0046,0
07/27/2020,SPY200727C00342000,0.01,0.005,0,0.01,30,2.251,0.0035,0.0016,671,342.000,SPY200727P00342000,0,0,18.39,19.07,0,2.9743,-0.9789,0.0057,0
07/27/2020,SPY200727C00343000,0.01,0,0,0.01,0,2.2555,0.0023,0.0011,197,343.000,SPY200727P00343000,16.52,0,19.39,20.07,0,3.0791,-0.9805,0.0052,0
07/27/2020,SPY200727C00344000,0.01,0,0,0.01,0,2.4582,0.0033,0.0013,302,344.000,SPY200727P00344000,0,0,20.39,21.07,0,3.2416,-0.9801,0.005,0
07/27/2020,SPY200727C00345000,0.01,0,0,0.01,0,2.5366,0.0029,0.0012,1538,345.000,SPY200727P00345000,25.31,0,21.39,22.07,0,3.3556,-0.9812,0.0046,0
07/27/2020,SPY200727C00346000,0.01,0,0,0.01,0,2.5457,0.002,0.0008,2619,346.000,SPY200727P00346000,20.81,0,22.39,23.08,0,3.2781,-0.9869,0.0034,0
07/27/2020,SPY200727C00347000,0.01,0,0,0.01,0,2.5566,0.0014,0.0006,1568,347.000,SPY200727P00347000,21.86,0,23.39,24.07,0,3.6423,-0.9814,0.0042,0
07/27/2020,SPY200727C00348000,0.01,0,0,0.01,0,2.8083,0.0024,0.0009,154,348.000,SPY200727P00348000,24.72,0,24.39,25.07,0,3.5204,-0.9876,0.003,0
07/27/2020,SPY200727C00349000,0.01,0,0,0.01,0,2.8219,0.0018,0.0007,231,349.000,SPY200727P00349000,0,0,25.39,26.07,0,3.8743,-0.9829,0.0037,0
07/27/2020,SPY200727C00350000,0.01,0,0,0.01,0,3.0713,0.0027,0.0009,6005,350.000,SPY200727P00350000,34.4,0,26.39,27.07,0,4.001,-0.9833,0.0035,0
07/27/2020,SPY200727C00351000,0.03,0,0,0.01,0,3.0884,0.0021,0.0007,2,351.000,SPY200727P00351000,0,0,27.39,28.07,0,4.126,-0.9837,0.0033,0
07/27/2020,SPY200727C00352000,0,0,0,0.01,0,3.1101,0.0016,0.0006,0,352.000,SPY200727P00352000,0,0,28.39,29.07,0,4.1885,-0.9852,0.003,0
07/27/2020,SPY200727C00353000,0.01,0,0,0.01,0,3.1378,0.0013,0.0005,36,353.000,SPY200727P00353000,0,0,29.39,30.08,0,4.356,-0.9847,0.003,0
07/27/2020,SPY200727C00354000,0.01,0,0,0.01,0,3.1731,0.001,0.0004,101,354.000,SPY200727P00354000,0,0,30.39,31.07,0,4.461,-0.9853,0.0028,0
07/27/2020,SPY200727C00355000,0.01,0,0,0.01,0,3.4141,0.0016,0.0005,357,355.000,SPY200727P00355000,0,0,31.39,32.07,0,4.5941,-0.9854,0.0027,0
07/27/2020,SPY200727C00360000,0.01,0,0,0.01,0,4.001,0.0019,0.0005,1080,360.000,SPY200727P00360000,0,0,36.39,37.07,0,5.1831,-0.9868,0.0022,0
07/27/2020,SPY200727C00365000,0.01,0,0,0.01,0,4.4935,0.0019,0.0004,342,365.000,SPY200727P00365000,0,0,41.39,42.07,0,5.751,-0.9879,0.0018,0
07/27/2020,SPY200727C00370000,0.01,0,0,0.01,0,4.6471,0.0009,0.0002,71,370.000,SPY200727P00370000,0,0,46.39,47.07,0,6.3081,-0.9888,0.0016,0
07/27/2020,SPY200727C00375000,0.02,0,0,0.01,0,5.2214,0.0012,0.0002,28,375.000,SPY200727P00375000,0,0,51.39,52.07,0,6.8165,-0.9899,0.0013,0
07/27/2020,SPY200727C00380000,0.01,0,0,0.01,0,5.4939,0.0008,0.0002,102,380.000,SPY200727P00380000,0,0,56.39,57.07,0,7.4204,-0.9898,0.0012,0
07/27/2020,SPY200727C00385000,0,0,0,0.01,0,6.001,0.0009,0.0002,0,385.000,SPY200727P00385000,0,0,61.39,62.07,0,7.8717,-0.9909,0.001,0
07/27/2020,SPY200727C00390000,0,0,0,0.01,0,6.6097,0.0012,0.0002,0,390.000,SPY200727P00390000,0,0,66.39,67.07,0,8.4608,-0.9908,0.001,0
07/29/2020,SPY200729C00155000,167.1,1.625,168.08,168.48,10,0.02,1,0,10,155.000,SPY200729P00155000,0.01,0.005,0,0.01,11,2.8565,-0.0002,0,1156
07/29/2020,SPY200729C00160000,161.97,1.495,163.08,163.48,2,0.02,1,0,2,160.000,SPY200729P00160000,0.02,0,0,0.01,0,2.7142,-0.0002,0,221
07/29/2020,SPY200729C00165000,157.14,1.665,158.08,158.48,1,0.02,1,0,1,165.000,SPY200729P00165000,0.01,0.005,0,0.01,1,2.6181,-0.0002,0,55
07/29/2020,SPY200729C00170000,152.53,2.055,153.08,153.47,1,0.02,1,0,1,170.000,SPY200729P00170000,0,0,0,0.01,0,2.5044,-0.0002,0,0
07/29/2020,SPY200729C00175000,146.99,1.525,148.08,148.48,2,0.02,1,0,2,175.000,SPY200729P00175000,0.01,0,0,0.01,0,2.4299,-0.0003,0,400
07/29/2020,SPY200729C00180000,0,0,143.08,143.48,0,0.02,1,0,0,180.000,SPY200729P00180000,0.04,0,0,0.01,0,2.2758,-0.0002,0,2
07/29/2020,SPY200729C00185000,0,0,138.08,138.48,0,0.02,1,0,0,185.000,SPY200729P00185000,0.01,0,0,0.01,0,2.2484,-0.0003,0,1571
07/29/2020,SPY200729C00190000,132.59,2.115,133.08,133.48,1,0.02,1,0,1,190.000,SPY200729P00190000,0.01,0,0,0.01,0,2.1354,-0.0003,0,2248
07/29/2020,SPY200729C00195000,0,0,128.08,128.48,0,0.02,1,0,0,195.000,SPY200729P00195000,0.01,0,0,0.01,0,2.001,-0.0003,0,459
07/29/2020,SPY200729C00200000,122.61,2.135,123.08,123.47,1,0.02,1,0.0009,1,200.000,SPY200729P00200000,0.01,0,0,0.01,0,2.001,-0.0005,0,1271
07/29/2020,SPY200729C00205000,0,0,118.08,118.48,0,0.02,1,0,0,205.000,SPY200729P00205000,0.01,0,0,0.01,0,1.8535,-0.0004,0,853
07/29/2020,SPY200729C00210000,0,0,113.08,113.47,0,0.02,1,0,0,210.000,SPY200729P00210000,0.01,0,0,0.01,0,1.8085,-0.0005,0,477
07/29/2020,SPY200729C00215000,0,0,108.08,108.48,0,0.02,1,0,0,215.000,SPY200729P00215000,0.01,0,0,0.01,0,1.6761,-0.0004,0,922
07/29/2020,SPY200729C00220000,0,0,103.08,103.48,0,0.02,1,0,0,220.000,SPY200729P00220000,0.01,0,0,0.01,0,1.5412,-0.0003,0,824
07/29/2020,SPY200729C00225000,0,0,98.08,98.48,0,0.02,1,0.0001,0,225.000,SPY200729P00225000,0.01,0,0,0.01,0,1.501,-0.0005,0,913
07/29/2020,SPY200729C00230000,0,0,93.1,93.47,0,0.02,1,0.0001,0,230.000,SPY200729P00230000,0.01,0.005,0,0.01,2,1.376,-0.0004,0,1113
07/29/2020,SPY200729C00235000,88.26,0,88.1,88.47,0,0.02,1,0.0001,1,235.000,SPY200729P00235000,0.01,0.005,0,0.01,2,1.376,-0.0008,0.0001,530
07/29/2020,SPY200729C00240000,0,0,83.1,83.47,0,0.02,1,0.0001,0,240.000,SPY200729P00240000,0.01,0.005,0,0.01,3,1.251,-0.0006,0.0001,1291
07/29/2020,SPY200729C00245000,0,0,78.1,78.47,0,0.02,1,0.0001,0,245.000,SPY200729P00245000,0.01,0.005,0,0.01,2,1.126,-0.0004,0.0001,454
07/29/2020,SPY200729C00250000,0,0,73.1,73.46,0,0.02,1,0,0,250.000,SPY200729P00250000,0.01,0.005,0,0.01,2,1.126,-0.001,0.0001,701
07/29/2020,SPY200729C00255000,66.72,1.26,68.12,68.35,20,0.02,1,0.0003,21,255.000,SPY200729P00255000,0.01,-0.005,0,0.01,2,1.0006,-0.0006,0.0001,760
07/29/2020,SPY200729C00260000,66.52,0,63.13,63.35,0,0.02,1,0.0003,18,260.000,SPY200729P00260000,0.01,-0.005,0,0.01,57,0.9522,-0.001,0.0001,1223
07/29/2020,SPY200729C00265000,39.41,0,58.12,58.39,0,0.02,1,0.002,2,265.000,SPY200729P00265000,0.01,-0.005,0,0.01,145,0.8235,-0.0005,0.0001,800
07/29/2020,SPY200729C00270000,55.78,0,53.12,53.35,0,0.02,1,0.0006,2,270.000,SPY200729P00270000,0.01,-0.005,0,0.01,20,0.7512,-0.0006,0.0001,994
07/29/2020,SPY200729C00275000,48.03,0,48.13,48.43,0,0.02,0.9995,0.0001,12,275.000,SPY200729P00275000,0.01,-0.005,0,0.01,45,0.6795,-0.0006,0.0001,552
07/29/2020,SPY200729C00278000,0,0,45.14,45.46,0,0.02,0.9963,0.0006,0,278.000,SPY200729P00278000,0.01,0,0,0.01,0,0.6479,-0.0008,0.0002,360
07/29/2020,SPY200729C00279000,0,0,44.13,44.46,0,0.02,1,0.0005,0,279.000,SPY200729P00279000,0.02,0,0,0.01,0,0.6226,-0.0007,0.0002,485
07/29/2020,SPY200729C00280000,40.86,0,43.13,43.46,0,0.02,1,0.0006,1,280.000,SPY200729P00280000,0.02,-0.005,0,0.01,6,0.6081,-0.0007,0.0002,1403
07/29/2020,SPY200729C00281000,41.65,2.165,42.14,42.46,1,0.02,1,0.0007,1,281.000,SPY200729P00281000,0.03,0,0,0.01,0,0.6235,-0.0012,0.0003,246
07/29/2020,SPY200729C00282000,0,0,41.14,41.46,0,0.02,1,0.0008,0,282.000,SPY200729P00282000,0.01,-0.015,0,0.01,1,0.5799,-0.0007,0.0002,299
